index,item,r.p,g.p,b.p
0,000000,0,0,0
1,000040,0,0,64
2,000080,0,0,128
3,0000C0,0,0,192
4,0000FF,0,0,255
5,004000,0,64,0
6,004040,0,64,64
7,004080,0,64,128
8,0040C0,0,64,192
9,0040FF,0,64,255
10,008000,0,128,0
11,008040,0,128,64
12,008080,0,128,128
13,0080C0,0,128,192
14,0080FF,0,128,255
15,00C000,0,192,0
16,00C040,0,192,64
17,00C080,0,192,128
18,00C0C0,0,192,192
19,00C0FF,0,192,255
20,00FF00,0,255,0
21,00FF40,0,255,64
22,00FF80,0,255,128
23,00FFC0,0,255,192
24,00FFFF,0,255,255
25,400000,64,0,0
26,400040,64,0,64
27,400080,64,0,128
28,4000C0,64,0,192
29,4000FF,64,0,255
30,404000,64,64,0
31,404040,64,64,64
32,404080,64,64,128
33,4040C0,64,64,192
34,4040FF,64,64,255
35,408000,64,128,0
36,408040,64,128,64
37,408080,64,128,128
38,4080C0,64,128,192
39,4080FF,64,128,255
40,40C000,64,192,0
41,40C040,64,192,64
42,40C080,64,192,128
43,40C0C0,64,192,192
44,40C0FF,64,192,255
45,40FF00,64,255,0
46,40FF40,64,255,64
47,40FF80,64,255,128
48,40FFC0,64,255,192
49,40FFFF,64,255,255
50,800000,128,0,0
51,800040,128,0,64
52,800080,128,0,128
53,8000C0,128,0,192
54,8000FF,128,0,255
55,804000,128,64,0
56,804040,128,64,64
57,804080,128,64,128
58,8040C0,128,64,192
59,8040FF,128,64,255
60,808000,128,128,0
61,808040,128,128,64
62,808080,128,128,128
63,8080C0,128,128,192
64,8080FF,128,128,255
65,80C000,128,192,0
66,80C040,128,192,64
67,80C080,128,192,128
68,80C0C0,128,192,192
69,80C0FF,128,192,255
70,80FF00,128,255,0
71,80FF40,128,255,64
72,80FF80,128,255,128
73,80FFC0,128,255,192
74,80FFFF,128,255,255
75,C00000,192,0,0
76,C00040,192,0,64
77,C00080,192,0,128
78,C000C0,192,0,192
79,C000FF,192,0,255
80,C04000,192,64,0
81,C04040,192,64,64
82,C04080,192,64,128
83,C040C0,192,64,192
84,C040FF,192,64,255
85,C08000,192,128,0
86,C08040,192,128,64
87,C08080,192,128,128
88,C080C0,192,128,192
89,C080FF,192,128,255
90,C0C000,192,192,0
91,C0C040,192,192,64
92,C0C080,192,192,128
93,C0C0C0,192,192,192
94,C0C0FF,192,192,255
95,C0FF00,192,255,0
96,C0FF40,192,255,64
97,C0FF80,192,255,128
98,C0FFC0,192,255,192
99,C0FFFF,192,255,255
100,FF0000,255,0,0
101,FF0040,255,0,64
102,FF0080,255,0,128
103,FF00C0,255,0,192
104,FF00FF,255,0,255
105,FF4000,255,64,0
106,FF4040,255,64,64
107,FF4080,255,64,128
108,FF40C0,255,64,192
109,FF40FF,255,64,255
110,FF8000,255,128,0
111,FF8040,255,128,64
112,FF8080,255,128,128
113,FF80C0,255,128,192
114,FF80FF,255,128,255
115,FFC000,255,192,0
116,FFC040,255,192,64
117,FFC080,255,192,128
118,FFC0C0,255,192,192
119,FFC0FF,255,192,255
120,FFFF00,255,255,0
121,FFFF40,255,255,64
122,FFFF80,255,255,128
123,FFFFC0,255,255,192
124,FFFFFF,255,255,255
